c,largest_lyapunov_exponent,z_span
1.520000000000000018e+00,2.715194434853419603e-01,2.725195059830011424e+00
1.524999999999999911e+00,2.632597688361258403e-01,2.722276829918829577e+00
1.530000000000000027e+00,2.743337314985366260e-01,2.718660013134193143e+00
1.534999999999999920e+00,2.701876222072567280e-01,2.713435485900375532e+00
1.540000000000000036e+00,2.969024730902203313e-01,2.712174852324956476e+00
1.544999999999999929e+00,2.603200524074799072e-01,2.709598861651134172e+00
1.550000000000000044e+00,2.680585079595447229e-01,2.701792611504752806e+00
1.554999999999999938e+00,2.602899871317572167e-01,2.695457528163965222e+00
1.560000000000000053e+00,2.749654883180429610e-01,2.698854641840863433e+00
1.564999999999999947e+00,3.171780979790437827e-01,2.670882093139149482e+00
1.569999999999999840e+00,2.952013700054827994e-01,2.691499212013274800e+00
1.574999999999999956e+00,2.715541211144097966e-01,2.686174698315319631e+00
1.580000000000000071e+00,2.001451244829752230e-01,2.682634901252860082e+00
1.584999999999999964e+00,2.309879188371319336e-01,2.683047345231148739e+00
1.589999999999999858e+00,2.140170974069373344e-01,2.678318978800856343e+00
1.594999999999999973e+00,1.707637047654054774e-01,2.675491549904982058e+00
1.600000000000000089e+00,8.906083130099519407e-02,2.672502583717006885e+00
1.604999999999999982e+00,2.711467786140411840e-01,2.658401485912104345e+00
1.609999999999999876e+00,2.038097586821246976e-01,2.665566275538911345e+00
1.614999999999999991e+00,2.953619408046962991e-01,2.648960678542242597e+00
1.619999999999999885e+00,1.365092532458522245e-01,2.659117412182741891e+00
1.625000000000000000e+00,-9.376993391429780866e-04,2.625736589661055831e+00
1.629999999999999893e+00,-5.698854231097133342e-03,2.639490442412644633e+00
1.635000000000000009e+00,1.143166901519565527e-03,2.643925082470378385e+00
1.639999999999999902e+00,-6.852393239971046749e-04,2.644967395706364854e+00
1.645000000000000018e+00,-7.867701833240767348e-04,2.644023203906578523e+00
1.649999999999999911e+00,5.528772547893166106e-03,2.641720437235767882e+00
1.655000000000000027e+00,2.118006070661104974e-03,2.638412343120745351e+00
1.659999999999999920e+00,2.494904120703164523e-04,2.634325862065829860e+00
1.665000000000000036e+00,5.047710361811091895e-03,2.629619156585280226e+00
1.669999999999999929e+00,5.980190377078137623e-03,2.624409667000931812e+00
1.675000000000000044e+00,4.587788637521783390e-03,2.618787793889624460e+00
1.679999999999999938e+00,-8.996009117956835720e-05,2.612825702896114599e+00
1.685000000000000053e+00,-6.342021856458974691e-04,2.606582212736994197e+00
1.689999999999999947e+00,-1.723275586852085397e-03,2.600106054055872473e+00
1.694999999999999840e+00,-4.166937007370063659e-03,2.593438193311601303e+00
1.699999999999999956e+00,2.369821239008580678e-05,2.586613465705917214e+00
1.705000000000000071e+00,-4.939965324911909164e-03,2.579661817208536156e+00
1.709999999999999964e+00,-6.213486264477367793e-03,2.572608517923764548e+00
1.714999999999999858e+00,-2.466535439672153996e-04,2.565475764757513932e+00
1.719999999999999973e+00,2.083752300936005195e-03,2.558282572902237817e+00
1.725000000000000089e+00,4.956486789118852258e-03,2.551045488378535175e+00
1.729999999999999982e+00,4.811613113839651422e-03,2.543778737589556638e+00
1.734999999999999876e+00,2.994334926368395593e-03,2.536494669542550540e+00
1.739999999999999991e+00,3.563195503996948246e-03,2.529203940845572873e+00
1.745000000000000107e+00,2.932081291963199287e-03,2.521983045442722116e+00
1.750000000000000000e+00,4.800772129025472623e-03,2.514996745118946997e+00
1.754999999999999893e+00,1.096356599475764755e-03,2.509372977068819566e+00
